,prod_id,prod_desc,prod_long_desc,theme_name,ages,piece_count,set_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
10233,21139,blah,blahblah,Minecraft™,6-14,84,The Nether Fight,PL,20.2971,,,nan,,
10234,21138,blah,blahblah,Minecraft™,6-14,69,The Melon Farm,PL,20.2971,4.0,5.0,Easy,4.3,2.7
10235,71020,blah,blahblah,Minifigures,5+,8,THE LEGO® BATMAN MOVIE Series 2,PL,4.93,13.0,4.3,Very Easy,4.8,4.0
10236,71021,blah,blahblah,Minifigures,5+,7,Series 18: Party,PL,4.93,14.0,4.5,Very Easy,4.6,4.3
10237,70357,blah,blahblah,NEXO KNIGHTS™,9-14,1426,Knighton Castle,PL,173.9971,5.0,2.0,Challenging,2.6,1.8
10238,72006,blah,blahblah,NEXO KNIGHTS™,8-14,604,Axl's Rolling Arsenal,PL,81.19709999999998,3.0,4.3,Challenging,4.0,4.0
10239,72005,blah,blahblah,NEXO KNIGHTS™,8-14,569,Aaron's X-bow,PL,66.69709999999999,,,nan,,
10240,72004,blah,blahblah,NEXO KNIGHTS™,8-14,506,Tech Wizard Showdown,PL,52.1971,3.0,5.0,Average,5.0,5.0
10241,72003,blah,blahblah,NEXO KNIGHTS™,8-14,369,Berserker Bomber,PL,40.5971,,,nan,,
10242,72002,blah,blahblah,NEXO KNIGHTS™,7-14,191,Twinfector,PL,26.0971,1.0,4.0,Easy,5.0,3.0
10243,72001,blah,blahblah,NEXO KNIGHTS™,7-14,217,Lance's Hover Jouster,PL,26.0971,,,nan,,
10244,70620,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,16+,4867,NINJAGO® City,PL,391.5,88.0,4.8,Challenging,4.9,4.8
10245,70618,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,9-14,2295,Destiny's Bounty,PL,226.1971,52.0,4.7,Challenging,4.9,4.8
10246,70617,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,9-14,1403,Temple of The Ultimate Ultimate Weapon,PL,130.4971,15.0,4.5,Average,4.8,4.8
